epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4498,3.04283,104.754,2.49725,0,0,0,0,3.71341,71.9779,3.20579,0.0991,0.0001,0.0001
2,40.5121,4.09364,68.7913,2.73145,0,0,0,0,3.72584,50.1875,3.19871,0.097299,0.00029901,0.00029901
3,46.3729,3.54501,55.292,2.81352,0,0,0,0,3.74877,37.5956,3.19323,0.0954967,0.0004967,0.0004967
4,52.337,2.59411,24.6117,2.1666,0,0,0,0,3.88557,26.1476,3.0318,0.0936931,0.00069307,0.00069307
5,58.3164,3.13011,21.5746,2.27393,0.00111,0.33333,0.00234,0.00047,3.91063,17.7911,2.97595,0.0918881,0.00088812,0.00088812
6,64.3426,2.99624,13.5859,2.3271,0.00111,0.33333,0.00234,0.00047,3.91063,17.7911,2.97595,0.0900819,0.00108185,0.00108185
7,70.2396,2.40295,15.4871,2.39418,0.12914,0.33333,0.166,0.06675,3.89861,11.5122,2.89344,0.0882743,0.00127426,0.00127426
8,76.3726,3.54472,11.4386,2.91446,0.85225,0.33333,0.515,0.29212,3.67653,7.90689,2.81944,0.0864654,0.00146535,0.00146535
9,82.3973,2.22868,5.85643,1.98784,0.85225,0.33333,0.515,0.29212,3.67653,7.90689,2.81944,0.0846551,0.00165512,0.00165512
10,91.3006,3.21472,8.41456,2.315,0.55201,0.43734,0.55537,0.1585,3.5855,6.34891,2.72339,0.0828436,0.00184357,0.00184357
11,99.6899,1.9047,6.70969,1.89262,0.55201,0.43734,0.55537,0.1585,3.5855,6.34891,2.72339,0.0810307,0.0020307,0.0020307
12,106.828,2.11699,5.75867,2.13734,0.60845,0.66667,0.83,0.48039,3.24062,9.98449,2.63258,0.0792165,0.00221651,0.00221651
13,113.312,2.37888,8.20174,2.22694,0.60845,0.66667,0.83,0.48039,3.24062,9.98449,2.63258,0.077401,0.002401,0.002401
14,120.006,1.89107,5.71795,1.72631,0.60845,0.66667,0.83,0.48039,3.24062,9.98449,2.63258,0.0755842,0.00258417,0.00258417
